,Company_Name,Industry,Revenue ($ million),Headquarters
0,Walmart,Consumer Staples,648125,United States
1,Amazon,Information Technology,574785,United States
2,State Grid Corporation of China,Utilities,545948,China
3,Saudi Aramco,Energy,494890,Saudi Arabia
4,China Petrochemical Corporation,Energy,429700,China
5,China National Petroleum Corporation,Energy,476000,China
6,Vitol,Materials,400000,Switzerland
7,Apple,Information Technology,383285,United States
8,UnitedHealth Group,Health Care,371622,United States
9,Berkshire Hathaway,Financials,364482,United States
10,CVS Health,Health Care,357776,United States
11,Volkswagen Group,Consumer Discretionary,348408,Germany
12,ExxonMobil,Energy,344582,United States
13,Shell,Energy,323183,United Kingdom
14,China State Construction Engineering,Industrials,320431,China
15,Toyota,Consumer Discretionary,312018,Japan
16,McKesson,Health Care,308951,United States
17,Alphabet,Information Technology,307394,United States
18,Cencora,Health Care,262173,United States
19,Microsoft,Information Technology,245122,United States
20,Trafigura,Materials,244280,Singapore
21,Costco,Consumer Staples,242290,United States
22,JPMorgan Chase,Financials,239425,United States
23,Industrial and Commercial Bank of China,Financials,222484,China
24,TotalEnergies,Energy,218945,France
25,Glencore,Materials,217829,Switzerland
26,BP,Energy,213032,United Kingdom
27,Cardinal Health,Health Care,205012,United States
28,Stellantis,Consumer Discretionary,204908,Netherlands
29,Chevron,Energy,200949,United States
30,China Construction Bank,Financials,199826,China
31,Samsung Electronics,Consumer Discretionary,198257,South Korea
32,Foxconn,Consumer Discretionary,197876,Taiwan
33,Cigna,Health Care,195265,United States
34,Agricultural Bank of China,Financials,192398,China
35,Schwarz Gruppe,Consumer Staples,180576,Germany
36,China Railway Engineering Corporation,Industrials,178563,China
37,Cargill,Industrials,177000,United States
38,Ford Motor Company,Consumer Discretionary,176191,United States
39,Bank of China,Financials,172328,China
40,Bank of America,Financials,171912,United States
41,General Motors,Consumer Discretionary,171842,United States
42,Elevance Health,Health Care,171340,United States
43,BMW Group,Consumer Discretionary,168103,Germany
44,Tata Group,Industrials,165500,India
45,Mercedes-Benz Group,Consumer Discretionary,165638,Germany
46,China Railway Construction Corporation,Industrials,160847,China
47,Baowu,Materials,157216,China
48,Citigroup,Financials,156820,United States
49,Enel,Utilities,147100,Italy
